mean_boundary_uncertainty,std_boundary_uncertainty,max_boundary_uncertainty,boundary_length,total_uncertainty
0.06622584164142609,0.03360150754451752,0.14316082000732422,244,0.0051622125
0.06383935362100601,0.027004802599549294,0.1465049535036087,292,0.0026538332
0.07581563293933868,0.022850822657346725,0.12517547607421875,480,0.0066683777
0.046898793429136276,0.015552041120827198,0.09538262337446213,156,0.00063182646
0.16206078231334686,0.018796633929014206,0.19355444610118866,132,0.003811771
0.05338343232870102,0.014372682198882103,0.09354055672883987,229,0.0012603466
0.05331193655729294,0.01775418221950531,0.09352646768093109,156,0.001915478
0.04914660379290581,0.010205958969891071,0.0771402046084404,364,0.0015952381
0.04102723300457001,0.00891172606498003,0.06540051847696304,144,0.0012575659
0.04992561414837837,0.011298260651528835,0.08705108612775803,248,0.0022648028
0.04314732551574707,0.007842285558581352,0.06745882332324982,368,0.0015281517
0.03916245698928833,0.009075452573597431,0.0672016367316246,148,0.0005376195
0.03453445807099342,0.007767904549837112,0.05962949991226196,100,0.002017806
0.0,0.0,0.0,0,0.0040074866
0.06261519342660904,0.019785644486546516,0.1114111915230751,264,0.00598992
0.1048581525683403,0.04247155785560608,0.19041085243225098,368,0.0050837174
0.04209427163004875,0.007752596866339445,0.0730074942111969,252,0.0011120168
0.0,0.0,0.0,0,0.002556774
0.0,0.0,0.0,0,0.0022920636
0.06491807103157043,0.021800868213176727,0.10853058844804764,144,0.0017772537
0.04703128710389137,0.018597528338432312,0.10324238985776901,288,0.0022756965
0.059665415436029434,0.01420553307980299,0.09299527108669281,92,0.0048922454
0.07994373887777328,0.020073305815458298,0.1258850395679474,250,0.0027989587
0.03835569694638252,0.007545039523392916,0.061128195375204086,184,0.00081457064
0.08887533843517303,0.026087656617164612,0.14927729964256287,519,0.005817181
0.04291157051920891,0.008393408730626106,0.06547290831804276,292,0.0018818403
0.04435889795422554,0.007136228494346142,0.06700961291790009,300,0.0007552917
0.0,0.0,0.0,0,0.003265513
0.05577538534998894,0.009729156270623207,0.08070243895053864,268,0.0021624726
0.039042338728904724,0.00637311115860939,0.055414918810129166,200,0.0018304792
0.03880956396460533,0.007342049852013588,0.0645868331193924,288,0.0013268954
0.0835585966706276,0.035209670662879944,0.20784860849380493,383,0.00322997
0.046571601182222366,0.012715204618871212,0.09277407079935074,236,0.002720107
0.06895054876804352,0.013376549817621708,0.10464523732662201,84,0.0028187193
0.07490761578083038,0.0328846350312233,0.1487501710653305,281,0.002901732
0.0,0.0,0.0,0,0.0024085362
0.0,0.0,0.0,0,0.0052397554
0.033587053418159485,0.004899242427200079,0.048157211393117905,308,0.0013347185
0.05668048933148384,0.03238717466592789,0.14544139802455902,280,0.002700981
0.03191845118999481,0.005379853770136833,0.04900309816002846,148,0.0008576722
0.04671864211559296,0.010306665673851967,0.0775965005159378,219,0.0009161181
0.0639226958155632,0.02558893710374832,0.1247410923242569,271,0.00189904
