mean_boundary_uncertainty,std_boundary_uncertainty,max_boundary_uncertainty,boundary_length,total_uncertainty
0.04002731665968895,0.006526846904307604,0.05746821314096451,372,0.0027173546
0.03083822689950466,0.008631407283246517,0.058203667402267456,158,0.002591472
0.032390426844358444,0.008602587506175041,0.05816894397139549,103,0.0067098374
0.0,0.0,0.0,0,0.005697143
0.03479354456067085,0.008279815316200256,0.056055277585983276,255,0.0067675374
0.06092491373419762,0.015204893425107002,0.08908411115407944,289,0.0068980074
0.0296441912651062,0.0040668463334441185,0.0422055721282959,259,0.0024751765
0.0,0.0,0.0,0,0.0033581175
0.0,0.0,0.0,0,0.0059702615
0.04816437140107155,0.017469147220253944,0.08525348454713821,128,0.0044464497
0.03115224465727806,0.008382247760891914,0.059074897319078445,284,0.004135233
0.02779918722808361,0.008218550123274326,0.0468919537961483,86,0.007007326
0.0423525869846344,0.017479192465543747,0.08639546483755112,254,0.0044300845
0.03443407639861107,0.0066039967350661755,0.05528935045003891,179,0.0022599988
0.06066439673304558,0.017715755850076675,0.11409451812505722,446,0.0074323644
0.034739766269922256,0.006183307617902756,0.05232701450586319,302,0.002564643
0.04260867089033127,0.008253749459981918,0.0669926181435585,292,0.0023378702
0.1390741616487503,0.021578345447778702,0.18303707242012024,129,0.0062648896
0.04459153488278389,0.014015553519129753,0.08272445201873779,311,0.0037936606
0.026911409571766853,0.0045301406644284725,0.03811470419168472,203,0.003642559
0.032140102237463,0.005615353584289551,0.057282160967588425,292,0.0024153977
0.05313248187303543,0.022556571289896965,0.11567702889442444,497,0.005248659
0.043098680675029755,0.013955686241388321,0.0775126963853836,244,0.0043073334
0.03131371736526489,0.00520565640181303,0.04538330063223839,100,0.0059473854
0.03791229426860809,0.01193434651941061,0.07401926815509796,195,0.0039523477
0.0,0.0,0.0,0,0.003931803
0.0,0.0,0.0,0,0.005095471
0.030248310416936874,0.007068493869155645,0.054837439209222794,311,0.003560536
0.12590371072292328,0.037264563143253326,0.18746459484100342,206,0.0066576027
0.030755022540688515,0.005235281772911549,0.043838195502758026,136,0.0025154324
0.03482513502240181,0.006676983088254929,0.0610848031938076,243,0.0021137455
0.034059565514326096,0.009129353798925877,0.06315858662128448,236,0.0031364185
0.04956802353262901,0.011566143482923508,0.07114187628030777,116,0.0041469964
0.04750051721930504,0.021599961444735527,0.09504079073667526,292,0.0047466033
0.040059447288513184,0.008188286796212196,0.0655508041381836,256,0.0023599472
0.034971654415130615,0.005488923750817776,0.05028431490063667,235,0.002867322
0.048965755850076675,0.015574372373521328,0.09052074700593948,236,0.0029570784
0.050429340451955795,0.02016064152121544,0.10938836634159088,507,0.008435264
0.04240429773926735,0.0074074952863156796,0.06753426790237427,324,0.0017550848
0.04953005537390709,0.011623900383710861,0.08517643809318542,229,0.006286655
0.03779340535402298,0.011065423488616943,0.0656370148062706,426,0.0035070537
0.0447080098092556,0.011120018549263477,0.07194675505161285,356,0.0035482058
